,player_id,name_first,name_last,country,current_elo,matches_played,peak_elo,peak_elo_date
4919,104925,Novak,Djokovic,SRB,2296.290511,1252,2445.269857,20160222
4741,104745,Rafael,Nadal,ESP,2211.812787,1302,2359.549121,20130930
3818,103819,Roger,Federer,SUI,2191.787261,1510,2321.566164,20071015
643,100644,Alexander,Zverev,GER,2129.841252,491,2194.989422,20210531
60132,208029,Holger,Rune,DEN,2125.946851,89,2125.946851,20221031
60092,207989,Carlos,Alcaraz,ESP,2124.890355,121,2260.657001,20220523
4415,104417,Robin,Soderling,SWE,2089.069913,482,2111.636967,20110310
6406,106421,Daniil,Medvedev,RUS,2086.166912,385,2251.579886,20220117
52103,200000,Felix,Auger Aliassime,CAN,2076.362459,264,2087.881315,20221114
6386,106401,Nick,Kyrgios,AUS,2069.449773,327,2100.761028,20170508
26758,126774,Stefanos,Tsitsipas,GRE,2066.357352,371,2154.660683,20220523
5215,105223,Juan Martin,del Potro,ARG,2063.667224,621,2177.858043,20130307
26594,126610,Matteo,Berrettini,ITA,2037.055773,221,2113.02151,20210202
26078,126094,Andrey,Rublev,RUS,2035.2891,370,2128.116924,20201026
58276,206173,Jannik,Sinner,ITA,2025.902461,188,2112.338433,20220725
34754,134770,Casper,Ruud,NOR,2013.975242,260,2084.889015,20220523
26187,126203,Taylor,Fritz,USA,1994.280236,323,2012.076306,20221003
52385,200282,Alex,De Minaur,AUS,1989.242612,266,1998.271675,20200106
28018,128034,Hubert,Hurkacz,POL,1975.941891,223,2007.15894,20220613
52727,200624,Sebastian,Korda,USA,1956.825629,112,2002.045906,20210614
11559,111575,Karen,Khachanov,RUS,1951.921331,370,2062.987656,20181029
6417,106432,Borna,Coric,CRO,1949.18538,347,2005.42924,20181029
5669,105683,Milos,Raonic,CAN,1936.223996,563,2141.182773,20160627
5441,105453,Kei,Nishikori,JPN,1934.923371,651,2158.703717,20160829
6218,106233,Dominic,Thiem,AUT,1932.316633,512,2129.135865,20160613
11799,111815,Cameron,Norrie,GBR,1932.263292,264,2032.944366,20220829
4052,104053,Andy,Roddick,USA,1930.151807,827,2103.178846,20100524
26189,126205,Tommy,Paul,USA,1928.011403,168,1953.305278,20220915
5130,105138,Roberto,Bautista Agut,ESP,1925.195881,609,2030.326535,20160208
5219,105227,Marin,Cilic,CRO,1924.759197,915,2083.614522,20100222
5792,105807,Pablo,Carreno Busta,ESP,1921.04191,479,1994.17129,20210419
26191,126207,Frances,Tiafoe,USA,1919.758823,281,1939.087461,20221031
4912,104918,Andy,Murray,GBR,1916.864361,965,2335.947182,20170102
4605,104607,Tomas,Berdych,CZE,1903.68125,988,2109.386513,20150503
59012,206909,Brandon,Nakashima,USA,1900.682728,92,1925.931106,20211018
22282,122298,Botic,Van De Zandschulp,NED,1896.717988,94,1927.878268,20220627
4788,104792,Gael,Monfils,FRA,1894.373523,835,2049.477573,20161003
1735,101736,Andre,Agassi,USA,1889.803689,358,2073.445508,20010312
4543,104545,John,Isner,USA,1886.978982,786,2029.422677,20120827
44691,144707,Mikael,Ymer,SWE,1885.030459,125,1905.001294,20210823
33414,133430,Denis,Shapovalov,CAN,1884.859598,306,2024.277067,20200106
22314,122330,Alexander,Bublik,KAZ,1883.693255,200,1912.476712,20220131
5762,105777,Grigor,Dimitrov,BUL,1882.335014,628,2105.621327,20140804
4337,104339,Mario,Ancic,CRO,1882.246169,343,2003.605152,20071015
59836,207733,Jack,Draper,GBR,1881.68278,38,1970.089638,20220829
4525,104527,Stan,Wawrinka,SUI,1879.895632,871,2113.097872,20160118
59621,207518,Lorenzo,Musetti,ITA,1879.217535,114,1930.959972,20221031
25786,125802,Ilya,Ivashka,BLR,1874.862893,151,1951.836399,20210927
52278,200175,Miomir,Kecmanovic,SRB,1871.60052,181,1930.370261,20200907
44878,144895,Corentin,Moutet,FRA,1865.838062,100,1865.838062,20221031
5542,105554,Daniel,Evans,GBR,1864.821859,261,1953.328222,20220117
3887,103888,Mardy,Fish,USA,1862.036527,526,2016.514976,20111003
3899,103900,David,Nalbandian,ARG,1860.898129,579,2043.866745,20070319
26223,126239,Arthur,Rinderknech,FRA,1851.475118,78,1884.232407,20220214
5921,105936,Filip,Krajinovic,SRB,1843.680303,242,1959.511961,20200831
6400,106415,Yoshihito,Nishioka,JPN,1842.908419,205,1873.977,20200120
4751,104755,Richard,Gasquet,FRA,1842.644025,964,2037.817949,20160215
4867,104871,Jeremy,Chardy,FRA,1842.248436,602,1909.174849,20091102
60605,208502,Dominic,Stricker,SUI,1842.164448,20,1842.164448,20221107
2157,102158,Patrick,Rafter,AUS,1837.350615,119,1955.847908,20010806
52428,200325,Emil,Ruusuvuori,FIN,1836.573883,133,1874.782219,20220418
1947,101948,Pete,Sampras,USA,1834.273351,151,1991.935265,20000313
4727,104731,Kevin,Anderson,RSA,1834.194907,610,2055.087749,20181231
24171,124187,Reilly,Opelka,USA,1833.521333,173,1952.35699,20220404
52773,200670,J J,Wolf,USA,1832.659482,36,1854.80704,20221017
5230,105238,Alexandr,Dolgopolov,UKR,1830.016874,423,1941.312003,20140413
3969,103970,David,Ferrer,ESP,1827.663346,1119,2178.271663,20130225
11187,111202,Hyeon,Chung,KOR,1827.114574,153,2008.175157,20180319
6028,106043,Diego,Schwartzman,ARG,1824.334497,430,1969.438506,20211018
26112,126128,Roman,Safiullin,RUS,1823.697495,25,1849.664761,20220926
3601,103602,Fernando,Gonzalez,CHI,1816.088786,572,1996.888233,20090928
44668,144684,Alex,Molcan,SVK,1814.917904,59,1954.243615,20220523
5662,105676,David,Goffin,BEL,1813.401497,545,2042.77695,20180212
3827,103828,Jean Julien,Rojer,AHO,1810.10747,14,1810.10747,20070406
2764,102765,Nicolas,Escude,FRA,1808.462609,206,1903.352276,20020128
3506,103507,Juan Carlos,Ferrero,ESP,1803.724466,717,2001.010837,20010528
26936,126952,Soon Woo,Kwon,KOR,1798.49366,110,1851.841384,20210405
5165,105173,Adrian,Mannarino,FRA,1797.880243,534,1888.728446,20180108
54488,202385,Jenson,Brooksby,USA,1796.557908,72,2033.590929,20220321
54298,202195,Maxime,Cressy,USA,1795.719075,67,1926.93092,20220117
6363,106378,Kyle,Edmund,GBR,1794.429542,240,1961.1836,20181022
6411,106426,Cristian,Garin,CHI,1793.521627,193,1954.758569,20190429
3284,103285,Radek,Stepanek,CZE,1793.258862,683,1961.084397,20100103
3343,103344,Ivan,Ljubicic,CRO,1793.125771,691,1991.450388,20060417
54206,202103,Francisco,Cerundolo,ARG,1792.858205,60,1926.316502,20220718
52324,200221,Alejandro,Davidovich Fokina,ESP,1790.837962,133,1937.043959,20210510
6203,106218,Marcos,Giron,USA,1787.286845,117,1881.666715,20211101
23739,123755,Daniel Elahi,Galan,COL,1786.836194,72,1803.979671,20210322
4540,104542,Jo-Wilfried,Tsonga,FRA,1783.517214,714,2119.931225,20120116
4336,104338,Juan,Monaco,ARG,1776.746766,617,1978.49169,20120725
